bill_title,policy_area,affected_group,geographic_scope,bill_summary,presented_by,party,parliament
Agriculture (Amendment) Bill 1983/84,Agriculture,farmers,UK-wide,The bill proposes amendments to existing agricultural legislation.,Edward Leigh,Conservative,1983-87
Anatomy Bill 1983/84,Health,medical students,UK-wide,The bill regulates the use and provision of human remains for anatomical study and education.,John McWilliam,Labour,1983-87
"Betting, Gaming and Lotteries (Amendment) Bill 1983/84",Finance,the general public,UK-wide,"This bill proposes amendments to existing legislation governing betting, gaming, and lotteries.",Ian Gilmour,Conservative,1983-87
Child Abduction Bill 1983/84,Family Law,children,UK-wide,The bill addresses issues related to the abduction of children.,Timothy Wood,Conservative,1983-87
Cycle Tracks Bill 1983/84,Transport,cyclists,UK-wide,The bill aims to establish provisions for the creation and management of cycle tracks.,Cecil Franks,Conservative,1983-87
Juries (Disqualification) Bill 1983/84,Criminal Justice,jurors,UK-wide,The bill proposes changes to the disqualification criteria for jurors.,John Watson,Conservative,1983-87
Prescription and Limitation (Scotland) Bill 1983/84,Other,the general public,Scotland,The bill addresses issues related to prescription and limitation of actions in Scotland.,Alex Eadie,Labour,1983-87
Road Traffic (Driving Instruction) Bill 1983/84,Transport,driving instructors,UK-wide,The bill aims to regulate driving instruction and improve standards for driving instructors.,Elizabeth Peacock,Conservative,1983-87
Trade Marks Act 1938 (Amendment) Bill 1983/84,Other,businesses,UK-wide,This bill proposes amendments to the Trade Marks Act 1938.,Stephen Dorrell,Conservative,1983-87
Video Recordings Bill 1983/84,Other,the general public,UK-wide,The bill aims to regulate the video recordings industry and establish standards for video content.,Graham Bright,Conservative,1983-87
Education (Amendment) (Scotland) Bill (HL) 1983/84,Education,students,Scotland,This bill proposes amendments to existing education legislation in Scotland.,Earl of Caithness,Conservative,1983-87
Lotteries (Amendment) Bill (HL) 1983/84,Finance,lottery participants,UK-wide,This bill proposes amendments to the existing lottery regulations.,Lord Irving of Dartford,Labour,1983-87
Agricultural Training Board Bill 1984/85,Education,farmers,UK-wide,The bill proposes the establishment of an Agricultural Training Board to oversee training in the agricultural sector.,Tom Torney,Labour,1983-87
Hill Farming Bill 1984/85,Agriculture,hill farmers,UK-wide,The bill aims to address issues related to hill farming practices and support for farmers in hilly regions.,Robert Jackson,Conservative,1983-87
Prohibition of Female Circumcision Bill 1984/85,Health,women,UK-wide,The bill aims to prohibit the practice of female circumcision.,Marion Roe,Conservative,1983-87
Wildlife and Countryside (Service of Notices) Bill 1984/85,Environment,the general public,UK-wide,The bill relates to the service of notices concerning wildlife and countryside matters.,David Clark,Labour,1983-87
Rent (Amendment) Bill 1984/85,Housing,tenants,UK-wide,The bill proposes amendments to existing rent regulations.,Michael Mates,Conservative,1983-87
Town and Country Planning (Protection of Trees and Woodland) (Amendment) Bill 1984/85,Environment,the general public,UK-wide,The bill aims to amend existing legislation to enhance the protection of trees and woodlands in planning processes.,Roger Freeman,Conservative,1983-87
Charter Trustees Bill 1984/85,Other,local authorities,England,The bill provides for the establishment of charter trustees to maintain the ceremonial traditions of certain local authorities.,Charles Morrison,Conservative,1983-87
Controlled Drugs (Penalties) Bill 1984/85,Criminal Justice,the general public,UK-wide,The bill proposes changes to the penalties associated with controlled drugs.,Keith Raffan,Conservative,1983-87
Copyright (Computer Software) Amendment Bill 1984/85,Other,software developers,UK-wide,The bill proposes amendments to copyright laws specifically related to computer software.,William Powell,Conservative,1983-87
Gaming (Bingo) Bill 1984/85,Other,the general public,UK-wide,The bill aims to regulate the operation and management of bingo gaming in the UK.,Peter Fry,Conservative,1983-87
Hospital Complaints Procedure Bill 1984/85,Health,patients,UK-wide,The bill aims to establish a formal procedure for handling complaints related to hospital services.,Michael McNair-Wilson,Conservative,1983-87
Intoxicating Substances (Supply) Bill 1984/85,Criminal Justice,the general public,UK-wide,The bill aims to regulate the supply of intoxicating substances.,Neville Trotter,Conservative,1983-87
Local Government (Access to Information) Bill 1984/85,Other,the general public,UK-wide,The bill aims to improve access to information held by local government authorities.,Robin Squire,Conservative,1983-87
