Successful Private Members' Bills since 1983,,,,,,,,,,,,,,
[Note 1] [Note 2] [Note 3] [Note 4],,,,,,,,,,,,,,
Parliament number,Session number,Parliament,Session,Bill type,Title of bill as presented,Presented by,Presented by (sort name),MNIS Member ID,Member's party (1),Member's party (2),Member's constituency,Act title,Bill URL,Act URL
49,1,1983-87,1983-84  ,Presentation,Law Reform (Husband and Wife) (Scotland) Bill 1983/84,James Douglas-Hamilton,"Douglas-Hamilton, James",802,Conservative,[z],Edinburgh West,Law Reform (Husband and Wife) (Scotland) Act 1984,[x],https://www.legislation.gov.uk/ukpga/1984/15
49,1,1983-87,1983-84  ,Ballot,Agriculture (Amendment) Bill 1983/84,Edward Leigh,"Leigh, Edward",345,Conservative,[z],Gainsborough and Horncastle,Agriculture (Amendment) Act 1984,[x],https://www.legislation.gov.uk/ukpga/1984/20
49,1,1983-87,1983-84  ,Ballot,Anatomy Bill 1983/84,John McWilliam,"McWilliam, John",517,Labour,[z],Blaydon,Anatomy Act 1984,[x],https://www.legislation.gov.uk/ukpga/1984/14
49,1,1983-87,1983-84  ,Ballot,"Betting, Gaming and Lotteries (Amendment) Bill 1983/84",Ian Gilmour,"Gilmour, Ian",2606,Conservative,[z],Chesham and Amersham,"Betting, Gaming and Lotteries (Amendment) Act 1984",[x],https://www.legislation.gov.uk/ukpga/1984/25
49,1,1983-87,1983-84  ,Ballot,Child Abduction Bill 1983/84,Timothy Wood,"Wood, Timothy",1156,Conservative,[z],Stevenage,Child Abduction Act 1984,[x],https://www.legislation.gov.uk/ukpga/1984/37
49,1,1983-87,1983-84  ,Ballot,Cycle Tracks Bill 1983/84,Cecil Franks,"Franks, Cecil",835,Conservative,[z],Barrow and Furness,Cycle Tracks Act 1984,[x],https://www.legislation.gov.uk/ukpga/1984/38
49,1,1983-87,1983-84  ,Ballot,Juries (Disqualification) Bill 1983/84,John Watson,"Watson, John",1352,Conservative,[z],Skipton and Ripon,Juries (Disqualification) Act 1984,[x],https://www.legislation.gov.uk/ukpga/1984/34
49,1,1983-87,1983-84  ,Ballot,Prescription and Limitation (Scotland) Bill 1983/84,Alex Eadie,"Eadie, Alex",811,Labour,[z],Midlothian,Prescription and Limitation (Scotland) Act 1984,[x],https://www.legislation.gov.uk/ukpga/1984/45
49,1,1983-87,1983-84  ,Ballot,Road Traffic (Driving Instruction) Bill 1983/84,Elizabeth Peacock,"Peacock, Elizabeth",1197,Conservative,[z],Batley and Spen,Road Traffic (Driving Instruction) Act 1984,[x],[x]
49,1,1983-87,1983-84  ,Ballot,Trade Marks Act 1938 (Amendment) Bill 1983/84,Stephen Dorrell,"Dorrell, Stephen",336,Conservative,[z],Charnwood,Trade Marks (Amendment) Act 1984,[x],https://www.legislation.gov.uk/ukpga/1984/19
49,1,1983-87,1983-84  ,Ballot,Video Recordings Bill 1983/84,Graham Bright,"Bright, Graham",1119,Conservative,[z],Luton South,Video Recordings Act 1984,[x],https://www.legislation.gov.uk/ukpga/1984/39
49,1,1983-87,1983-84  ,Lords,Education (Amendment) (Scotland) Bill (HL) 1983/84,Earl of Caithness,"Caithness, E.",3310,Conservative,[z],[z],Education (Amendment) (Scotland) Act 1984,[x],https://www.legislation.gov.uk/ukpga/1984/6
49,1,1983-87,1983-84  ,Lords,Lotteries (Amendment) Bill (HL) 1983/84,Lord Irving of Dartford,"Irving of Dartford, L.",2324,Labour,[z],[z],Lotteries (Amendment) Act 1984,[x],https://www.legislation.gov.uk/ukpga/1984/9
49,2,1983-87,1984-85  ,Presentation,Agricultural Training Board Bill 1984/85,Tom Torney,"Torney, Tom",1177,Labour,[z],Bradford South,Agricultural Training Board Act 1985,[x],[x]
49,2,1983-87,1984-85  ,Presentation,Hill Farming Bill 1984/85,Robert Jackson,"Jackson, Robert",97,Conservative,[z],Wantage,Hill Farming Act 1985,[x],[x]
49,2,1983-87,1984-85  ,Presentation,Prohibition of Female Circumcision Bill 1984/85,Marion Roe,"Roe, Marion",64,Conservative,[z],Broxbourne,Prohibition of Female Circumcision Act 1985,[x],[x]
49,2,1983-87,1984-85  ,Presentation,Wildlife and Countryside (Service of Notices) Bill 1984/85,David Clark,"Clark, David",525,Labour,[z],South Shields,Wildlife and Countryside (Service of Notices) Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/59
49,2,1983-87,1984-85  ,Ten minute rule,Rent (Amendment) Bill 1984/85,Michael Mates,"Mates, Michael",49,Conservative,[z],East Hampshire,Rent (Amendment) Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/24
49,2,1983-87,1984-85  ,Ten minute rule,Town and Country Planning (Protection of Trees and Woodland) (Amendment) Bill 1984/85,Roger Freeman,"Freeman, Roger",836,Conservative,[z],Kettering,Town and Country Planning (Amendment) Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/52
49,2,1983-87,1984-85  ,Ballot,Charter Trustees Bill 1984/85,Charles Morrison,"Morrison, Charles",1236,Conservative,[z],Devizes,Charter Trustees Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/45
49,2,1983-87,1984-85  ,Ballot,Controlled Drugs (Penalties) Bill 1984/85,Keith Raffan,"Raffan, Keith",1280,Conservative,[z],Delyn,Controlled Drugs (Penalties) Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/39
49,2,1983-87,1984-85  ,Ballot,Copyright (Computer Software) Amendment Bill 1984/85,William Powell,"Powell, William",1233,Conservative,[z],Corby,Copyright (Computer Software) Amendment Act 1985,[x],[x]
